subid,gender,trial,pool,rate_s,rate_o,choice_raw,outcome_s,outcome_o,conds,party,frame,choice,
105,1,19,75,-1,-2,14,28,61,2,1,2,15
105,1,20,200,-1,-1,37,37,163,2,1,2,38
106,1,1,90,-1,-3,24,24,198,2,1,2,25
106,1,2,60,-1,-2,15,15,90,2,1,2,16
106,1,3,120,-2,-1,20,40,100,2,1,2,21
106,1,4,90,-3,-1,15,45,75,2,1,2,16
106,1,5,150,-2,-1,29,58,121,2,1,2,30
106,1,6,40,-3,-1,5,15,35,2,1,2,6
106,1,7,100,-1,-3,19,19,243,2,1,2,20
106,1,8,150,-1,-2,26,26,248,2,1,2,27
106,1,9,100,-3,-1,15,45,85,2,1,2,16
106,1,10,200,-1,-1,34,34,166,2,1,2,35
106,1,11,40,-1,-3,11,11,87,2,1,2,12
106,1,12,80,-3,-1,9,27,71,2,1,2,10
106,1,13,75,-2,-1,13,26,62,2,1,2,14
106,1,14,120,-1,-1,24,24,96,2,1,2,25
106,1,15,60,-2,-1,9,18,51,2,1,2,10
106,1,16,120,-1,-2,22,22,196,2,1,2,23
106,1,17,80,-1,-3,18,18,186,2,1,2,19
106,1,18,100,-1,-1,19,19,81,2,1,2,20
106,1,19,75,-1,-2,19,19,112,2,1,2,20
106,1,20,60,-1,-1,16,16,44,2,1,2,17
107,1,1,120,-2,-1,15,30,105,2,1,2,16
107,1,2,100,-1,-3,22,22,234,2,1,2,23
107,1,3,200,-1,-1,34,34,166,2,1,2,35
107,1,4,90,-3,-1,9,27,81,2,1,2,10
107,1,5,150,-1,-2,24,24,252,2,1,2,25
107,1,6,75,-2,-1,24,48,51,2,1,2,25
107,1,7,90,-1,-3,15,15,225,2,1,2,16
107,1,8,120,-1,-2,15,15,210,2,1,2,16
107,1,9,100,-3,-1,8,24,92,2,1,2,9
107,1,10,75,-1,-2,15,15,120,2,1,2,16
107,1,11,60,-2,-1,9,18,51,2,1,2,10
107,1,12,80,-3,-1,8,24,72,2,1,2,9
107,1,13,150,-2,-1,15,30,135,2,1,2,16
107,1,14,60,-1,-2,14,14,92,2,1,2,15
107,1,15,100,-1,-1,17,17,83,2,1,2,18
107,1,16,40,-1,-3,11,11,87,2,1,2,12
107,1,17,120,-1,-1,19,19,101,2,1,2,20
107,1,18,80,-1,-3,25,25,165,2,1,2,26
107,1,19,40,-3,-1,4,12,36,2,1,2,5
107,1,20,60,-1,-1,7,7,53,2,1,2,8
108,1,1,150,-2,-1,24,48,126,2,1,2,25
108,1,2,40,-3,-1,4,12,36,2,1,2,5
108,1,3,60,-1,-1,11,11,49,2,1,2,12
108,1,4,150,-1,-2,29,29,242,2,1,2,30
108,1,5,90,-1,-3,25,25,195,2,1,2,26
108,1,6,75,-2,-1,10,20,65,2,1,2,11
108,1,7,100,-1,-3,21,21,237,2,1,2,22
108,1,8,120,-1,-2,39,39,162,2,1,2,40
108,1,9,40,-1,-3,8,8,96,2,1,2,9
108,1,10,60,-2,-1,12,24,48,2,1,2,13
108,1,11,120,-1,-1,21,21,99,2,1,2,22
108,1,12,100,-3,-1,11,33,89,2,1,2,12
108,1,13,80,-1,-3,19,19,183,2,1,2,20
108,1,14,100,-1,-1,17,17,83,2,1,2,18
108,1,15,60,-1,-2,9,9,102,2,1,2,10
108,1,16,120,-2,-1,10,20,110,2,1,2,11
108,1,17,200,-1,-1,26,26,174,2,1,2,27
108,1,18,90,-3,-1,9,27,81,2,1,2,10
108,1,19,75,-1,-2,6,6,138,2,1,2,7
108,1,20,80,-3,-1,5,15,75,2,1,2,6
109,1,1,40,-3,-1,5,15,35,2,1,2,6
109,1,2,60,-1,-1,15,15,45,2,1,2,16
109,1,3,75,-1,-2,14,14,122,2,1,2,15
109,1,4,100,-1,-1,15,15,85,2,1,2,16
109,1,5,120,-1,-2,26,26,188,2,1,2,27
109,1,6,60,-2,-1,12,24,48,2,1,2,13
109,1,7,100,-1,-3,19,19,243,2,1,2,20
109,1,8,75,-2,-1,11,22,64,2,1,2,12
109,1,9,100,-3,-1,16,48,84,2,1,2,17
109,1,10,150,-2,-1,23,46,127,2,1,2,24
109,1,11,80,-3,-1,13,39,67,2,1,2,14
109,1,12,200,-1,-1,40,40,160,2,1,2,41
109,1,13,60,-1,-2,17,17,86,2,1,2,18
109,1,14,80,-1,-3,14,14,198,2,1,2,15
109,1,15,120,-2,-1,16,32,104,2,1,2,17
109,1,16,150,-1,-2,35,35,230,2,1,2,36
109,1,17,90,-3,-1,10,30,80,2,1,2,11
109,1,18,40,-1,-3,13,13,81,2,1,2,14
109,1,19,120,-1,-1,25,25,95,2,1,2,26
109,1,20,90,-1,-3,25,25,195,2,1,2,26
110,1,1,120,-1,-1,23,23,97,2,1,2,24
110,1,2,60,-1,-2,18,18,84,2,1,2,19
110,1,3,40,-1,-3,14,14,78,2,1,2,15
110,1,4,150,-1,-2,32,32,236,2,1,2,33
110,1,5,75,-2,-1,12,24,63,2,1,2,13
110,1,6,100,-1,-3,31,31,207,2,1,2,32
110,1,7,120,-2,-1,16,32,104,2,1,2,17
110,1,8,200,-1,-1,49,49,151,2,1,2,50
110,1,9,80,-3,-1,13,39,67,2,1,2,14
110,1,10,100,-1,-1,20,20,80,2,1,2,21
110,1,11,80,-1,-3,29,29,153,2,1,2,30
110,1,12,150,-2,-1,30,60,120,2,1,2,31
110,1,13,90,-3,-1,12,36,78,2,1,2,13
110,1,14,60,-1,-1,10,10,50,2,1,2,11
110,1,15,75,-1,-2,13,13,124,2,1,2,14
110,1,16,90,-1,-3,19,19,213,2,1,2,20
110,1,17,60,-2,-1,6,12,54,2,1,2,7
110,1,18,40,-3,-1,5,15,35,2,1,2,6
110,1,19,120,-1,-2,24,24,192,2,1,2,25
110,1,20,100,-3,-1,9,27,91,2,1,2,10
111,1,1,90,-3,-1,7,21,83,2,1,2,8
111,1,2,150,-1,-2,37,37,226,2,1,2,38
111,1,3,60,-1,-1,10,10,50,2,1,2,11
111,1,4,150,-2,-1,15,30,135,2,1,2,16
111,1,5,120,-1,-1,13,13,107,2,1,2,14
